record_key,N,family,branch_key,internal_model_code,public_model_code,FDTD_ready,FDTD_status,source_model_json,source_model_curve,website_model_json,website_model_curve,model_json_staged_or_available,model_curve_staged_or_available,curve_status,issue
Pt_Pt_Rakic-LD,4,CP,CP,CP_M4_A,CP_M4,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Pt_Pt_Rakic-LD\CP_M4.json,,data/models/Pt_Pt_Rakic-LD/CP_M4_A.json,data/model_curves/Pt_Pt_Rakic-LD/CP_M4_A.json,True,True,generated_from_model_json_and_fitting_grid,
Pt_Pt_Rakic-LD,4,SemiCP,SCP,CP_M4_B,CP_M4,False,NOT_FDTD_READY_G_UNSTABLE,,,,,False,False,not_attempted,
Pt_Pt_Rakic-LD,5,RP,RP,RP_M5,RP_M5,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Pt_Pt_Rakic-LD\RP_M5.json,,data/models/Pt_Pt_Rakic-LD/RP_M5.json,data/model_curves/Pt_Pt_Rakic-LD/RP_M5.json,True,True,generated_from_model_json_and_fitting_grid,
Pt_Pt_Rakic-LD,5,CP,CP,CP_M5_A,CP_M5,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Pt_Pt_Rakic-LD\CP_M5.json,,data/models/Pt_Pt_Rakic-LD/CP_M5_A.json,data/model_curves/Pt_Pt_Rakic-LD/CP_M5_A.json,True,True,generated_from_model_json_and_fitting_grid,
Pt_Pt_Rakic-LD,5,SemiCP,SCP,CP_M5_B,CP_M5,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Pt_Pt_Rakic-LD\SCP_M5.json,,data/models/Pt_Pt_Rakic-LD/CP_M5_B.json,data/model_curves/Pt_Pt_Rakic-LD/CP_M5_B.json,True,True,generated_from_model_json_and_fitting_grid,
Pt_Pt_Tselin,1,RP,RP,RP_M1,RP_M1,True,NOT_FDTD_READY_G_UNSTABLE,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\source_all_json\Pt_Pt_Tselin\rp_selected_tidy3d_pole_residue.json,,data/models/Pt_Pt_Tselin/RP_M1.json,data/model_curves/Pt_Pt_Tselin/RP_M1.json,True,True,generated_from_model_json_and_fitting_grid,
Pt_Pt_Tselin,1,CP,CP,CP_M1_A,CP_M1,True,NOT_FDTD_READY_EXPORT_REJECTED,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\source_all_json\Pt_Pt_Tselin\cp_analytical_selected_tidy3d_pole_residue.json,,data/models/Pt_Pt_Tselin/CP_M1_A.json,data/model_curves/Pt_Pt_Tselin/CP_M1_A.json,True,True,generated_from_model_json_and_fitting_grid,
Pt_Pt_Tselin,1,SemiCP,SCP,CP_M1_B,CP_M1,True,NOT_FDTD_READY_G_UNSTABLE,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Pt_Pt_Tselin\SCP_M2.json,,data/models/Pt_Pt_Tselin/CP_M1_B.json,data/model_curves/Pt_Pt_Tselin/CP_M1_B.json,True,True,generated_from_model_json_and_fitting_grid,
Pt_Pt_Tselin,2,RP,RP,RP_M2,RP_M2,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Pt_Pt_Tselin\RP_M2.json,,data/models/Pt_Pt_Tselin/RP_M2.json,data/model_curves/Pt_Pt_Tselin/RP_M2.json,True,True,generated_from_model_json_and_fitting_grid,
Pt_Pt_Tselin,2,CP,CP,CP_M2_A,CP_M2,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Pt_Pt_Tselin\CP_M2.json,,data/models/Pt_Pt_Tselin/CP_M2_A.json,data/model_curves/Pt_Pt_Tselin/CP_M2_A.json,True,True,generated_from_model_json_and_fitting_grid,
